,precision,recall,f1-score,support
0,0.9933333333333333,0.9900332225913622,0.9916805324459235,301.0
1,1.0,0.9961389961389961,0.9980657640232108,259.0
2,0.9947089947089947,0.9947089947089947,0.9947089947089947,189.0
3,0.9817629179331308,0.9877675840978594,0.9847560975609756,327.0
4,0.9930313588850174,0.9930313588850174,0.9930313588850174,287.0
5,0.9545454545454546,0.967741935483871,0.9610983981693364,217.0
6,0.9936908517350158,0.9905660377358491,0.9921259842519685,318.0
7,0.9607843137254902,0.9683794466403162,0.9645669291338582,253.0
8,0.9848024316109423,0.9818181818181818,0.9833080424886191,330.0
9,0.9824561403508771,0.9722222222222222,0.9773123909249564,288.0
10,0.9864406779661017,0.9732441471571907,0.9797979797979798,299.0
11,0.9965635738831615,0.9931506849315068,0.9948542024013722,292.0
12,0.9568106312292359,0.972972972972973,0.964824120603015,296.0
13,0.9841772151898734,0.9904458598726115,0.9873015873015873,314.0
14,0.9860627177700348,0.9725085910652921,0.9792387543252595,291.0
15,0.990909090909091,0.9879154078549849,0.989409984871407,331.0
16,0.9744525547445255,0.9925650557620818,0.9834254143646409,269.0
17,0.9779411764705882,0.9708029197080292,0.9743589743589743,274.0
accuracy,0.9832521908471276,0.9832521908471276,0.9832521908471276,0.9832521908471276
macro avg,0.9829151908328261,0.9831118677581855,0.9829925283676165,5135.0
weighted avg,0.983326029688648,0.9832521908471276,0.9832685934246475,5135.0
